year,province,city,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),food_security_index,IKP Ranking
2018,aceh,simeulue,5,0.67,20.2,55.69,1.42,30.36,8.98,2.12,64.9,35.7,71.69,237
2018,aceh,aceh singkil,2,4.31,22.11,40.27,1.07,42.45,8.04,3.05,67.07,38.7,48.22,381
2018,aceh,aceh selatan,4,0.69,14.07,69.08,0.5,53.23,8.41,5.49,63.89,44.9,67.24,297
2018,aceh,aceh tenggara,5,0.33,14.86,58.78,2.02,56.35,9.63,4.86,67.62,38.2,72.54,224
2018,aceh,aceh timur,5,0.51,15.25,47.94,0.6,50.06,8.23,3.68,68.33,43.6,72.26,229
2018,aceh,aceh tengah,4,1.79,16.84,42.96,0,53.57,9.85,3.85,68.53,37.2,65.51,309
2018,aceh,aceh barat,5,0.42,20.28,42.1,2.29,33.76,9.38,2.32,67.62,33.2,75.45,157
2018,aceh,aceh besar,6,0.55,15.41,54.6,0.82,26.99,9.64,1.78,69.52,31.2,77.77,100
2018,aceh,pidie,5,0.5,21.43,64.65,1.96,52.11,8.87,1.18,66.58,43.7,67.97,286
2018,aceh,bireuen,5,0.64,15.87,47.4,1.1,48.25,9.18,0.71,70.8,34.4,74.35,180
2018,aceh,aceh utara,5,0.52,19.78,68.89,2.1,50.32,8.31,1.59,68.54,35.9,69.77,269
2018,aceh,aceh barat daya,5,0.59,18.31,51.54,0.95,45.1,8.92,1.95,64.51,31.6,71.29,244
2018,aceh,gayo lues,5,0.4,21.97,49.88,0.7,43.78,7.99,7.99,64.98,38.5,70.09,264
2018,aceh,aceh tamiang,6,0.53,14.69,35.35,0.28,23.93,9.02,2.83,69.16,32.4,79.57,60
2018,aceh,nagan raya,5,0.33,19.34,52.24,0.49,56.79,8.47,4.87,68.76,26.2,72.8,213
2018,aceh,aceh jaya,5,0.25,14.85,52.83,0,42.31,8.42,7.44,66.77,38.3,74.67,175
2018,aceh,bener meriah,2,5,21.14,54.93,0.84,47.16,9.67,2.25,68.9,37.6,44.28,388
2018,aceh,pidie jaya,5,0.51,21.82,61.14,0.28,46.06,9.03,1.21,69.68,34.6,71.62,239
2018,aceh,kota banda aceh,6,50,7.44,43.09,0.1,0.82,11.86,0.02,70.96,25.1,82.95,13
2018,aceh,kota sabang,4,50,17.66,58.71,0,9.39,11.05,0.48,70.09,29.8,56.89,89
2018,aceh,kota langsa,5,50,11.24,49.93,0.13,15,10.95,0.21,69.06,26.7,66.68,70
